user_id,username,name,phone,email,governorate,city,is_active,profession,profession_ar,experience_years,average_rating,completed_jobs,accept_rate,is_available,is_verified,is_featured,hourly_rate,minimum_charge,currency,date_joined,profile_created_at
2509,user2509,Amr Hatem,01041243272,user2509@example.com,dakahlia,dakahlia_city_3,True,سباكه,سباكه,23,3.7,84,63.4,True,False,False,111.1,149.2,EGP,2025-04-24 02:54:27,2025-05-09 02:54:27
236,user236,Ahmed Fahmy,01021368176,user236@example.com,port_said,port_said_city_2,True,سباكه,سباكه,4,2.7,11,36.8,True,False,False,33.3,255.5,EGP,2025-08-21 10:42:38,2025-09-06 10:42:38
3259,user3259,Ibrahim Mostafa,01025766820,,minya,minya_city_2,True,خدمات منزليه,خدمات منزليه,23,2.8,173,82.5,True,False,False,0.0,0.0,EGP,2025-08-01 01:02:17,2025-08-17 01:02:17
4633,user4633,Rania Fouad,01044991603,user4633@example.com,gharbia,gharbia_city_3,True,سباكه,سباكه,6,3.0,216,91.1,False,False,False,154.9,270.2,EGP,2026-01-06 03:04:47,2026-01-31 03:04:47
2712,user2712,Ali Hatem,01026518086,,qena,qena_city_2,True,خدمات منزليه,خدمات منزليه,10,3.3,69,46.8,True,True,False,0.0,384.7,EGP,2024-07-13 03:56:28,2024-08-07 03:56:28
3560,user3560,Sherif Rashad,01041331290,,kafr_el_sheikh,kafr_el_sheikh_city_1,True,نجاره,نجاره,11,3.5,261,59.6,True,True,False,36.7,107.4,EGP,2024-10-03 10:23:56,2024-10-13 10:23:56
2585,user2585,Ghada Adel,01084207900,user2585@example.com,sohag,sohag_city_2,True,كهرباء,كهرباء,13,1.9,66,61.9,True,True,False,158.1,0.0,EGP,2025-10-10 13:51:39,2025-11-06 13:51:39
4910,user4910,Nadia Hamdy,01084758440,user4910@example.com,cairo,cairo_city_2,True,سباكه,سباكه,10,1.5,180,31.6,True,True,True,0.0,371.1,EGP,2024-02-27 13:36:07,2024-03-28 13:36:07
3027,user3027,Hassan Shaker,01059098767,user3027@example.com,qalyubia,qalyubia_city_3,True,خدمات منزليه,خدمات منزليه,11,2.8,161,60.0,True,True,False,147.6,101.7,EGP,2025-12-16 20:08:29,2026-01-04 20:08:29
3873,user3873,Shaimaa Omar,01068417164,,damietta,damietta_city_2,True,سباكه,سباكه,4,4.0,178,93.4,False,True,False,189.1,175.8,EGP,2026-01-25 17:21:27,2026-02-18 17:21:27
3498,user3498,Reem Tawfik,01019165963,user3498@example.com,kafr_el_sheikh,kafr_el_sheikh_city_3,True,كهرباء,كهرباء,11,1.3,168,83.5,True,True,True,29.7,237.1,EGP,2025-07-06 02:19:04,2025-07-28 02:19:04
4528,user4528,Noha Naguib,01015683194,user4528@example.com,matrouh,matrouh_city_2,True,سباكه,سباكه,18,3.0,146,50.5,True,True,False,34.1,124.4,EGP,2025-04-06 12:14:50,2025-04-28 12:14:50
1233,user1233,Amany Omar,01030428651,user1233@example.com,suez,suez_city_1,True,سباكه,سباكه,9,4.5,54,31.8,True,True,True,102.6,324.9,EGP,2024-04-23 12:45:09,2024-05-06 12:45:09
4849,user4849,Laila Khaled,01040474231,user4849@example.com,gharbia,gharbia_city_3,True,خدمات منزليه,خدمات منزليه,12,2.7,90,96.4,True,True,False,177.8,334.3,EGP,2026-04-28 11:19:22,2026-05-10 11:19:22
1654,user1654,Fatma Rashad,01085763872,user1654@example.com,damietta,damietta_city_1,True,خدمات منزليه,خدمات منزليه,22,2.9,141,51.8,True,False,False,0.0,453.2,EGP,2024-11-04 01:56:59,2024-12-02 01:56:59
3877,user3877,Ali Shaker,01025475831,user3877@example.com,gharbia,gharbia_city_2,True,كهرباء,كهرباء,24,4.1,67,66.4,True,True,False,29.9,0.0,EGP,2025-05-01 13:47:05,2025-05-24 13:47:05
3358,user3358,Aya Mohamed,01091551265,user3358@example.com,dakahlia,dakahlia_city_3,True,سباكه,سباكه,11,3.9,271,42.8,True,False,True,40.4,139.1,EGP,2024-06-08 10:50:49,2024-06-09 10:50:49
